timestamp,homeid,demand_kwh,solar_kwh,price_kwh,net_load_kwh,soc_kwh,grid_import_kwh,grid_export_kwh,wasted_kwh,throughput_kwh,step_cost,action,episode
2018-06-22 22:00:00,145,0.08319472521543503,0.0,0.05012249946594238,0.08319472521543503,1.126516765669772,0.0,-0.0,-0.0,0.08319472521543503,8.319472521543503e-05,2,
2018-06-22 23:00:00,145,0.07122916728258133,-0.0,0.053564999252557755,0.07122916728258133,1.0515386948460024,0.0,-0.0,-0.0,0.07122916728258133,7.122916728258133e-05,2,
2018-06-23 00:00:00,145,0.08298805356025696,-0.0,0.05045250058174133,0.08298805356025696,0.9641828489931004,0.0,-0.0,-0.0,0.08298805356025696,8.298805356025696e-05,2,
2018-06-23 01:00:00,145,0.06883333623409271,0.0,0.049504999071359634,0.06883333623409271,0.8917267055887923,0.0,-0.0,-0.0,0.06883333623409271,6.883333623409272e-05,2,
2018-06-23 02:00:00,145,0.08326361328363419,-0.0,0.047532498836517334,0.08326361328363419,0.8040807968691773,0.0,-0.0,-0.0,0.08326361328363419,8.326361328363418e-05,2,
2018-06-23 03:00:00,145,0.06773972511291504,-0.0,0.04589749872684479,0.06773972511291504,0.7327758230661089,0.0,-0.0,-0.0,0.06773972511291504,6.773972511291503e-05,2,
2018-06-23 04:00:00,145,0.08498555421829224,-0.0,0.038883332163095474,0.08498555421829224,0.6433173449415908,0.0,-0.0,-0.0,0.08498555421829224,8.498555421829224e-05,2,
2018-06-23 05:00:00,145,0.06396111100912094,-0.0,0.03886333480477333,0.06396111100912094,0.5759898596688319,0.0,-0.0,-0.0,0.06396111100912094,6.396111100912094e-05,2,
2018-06-23 06:00:00,145,0.08466055244207382,-0.0,0.04583999887108803,0.08466055244207382,0.4868734886771752,0.0,-0.0,-0.0,0.08466055244207382,8.466055244207382e-05,2,
2018-06-23 07:00:00,145,0.0629008337855339,0.0,0.045910000801086426,0.0629008337855339,0.4206620846924027,0.0,-0.0,-0.0,0.0629008337855339,6.290083378553391e-05,2,
2018-06-23 08:00:00,145,0.08181055635213852,0.0,0.048272501677274704,0.08181055635213852,0.33454570958488844,0.0,-0.0,-0.0,0.08181055635213852,8.181055635213852e-05,2,
2018-06-23 09:00:00,145,0.060275834053754807,0.044651005417108536,0.05100249871611595,0.01562482863664627,0.3180985215463134,0.0,-0.0,-0.0,0.01562482863664627,1.562482863664627e-05,2,
2018-06-23 10:00:00,145,0.08230666816234589,0.032597608864307404,0.05060749873518944,0.04970905929803848,0.2657731959694308,0.0,-0.0,-0.0,0.04970905929803848,4.9709059298038486e-05,2,
